location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link,sangkat,khan,city/provice,lat,lon
"Tonle Bassac, Chamkarmon, Phnom Penh",80000,,1,58,,Condo,buy,https://www.realestate.com.kh/buy/tonle-bassac/1-bath-condo-232516/,Tonle Bassac,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Toul Svay Prey 1, Chamkarmon, Phnom Penh",2200000,6,7,,,Villa,buy,https://www.realestate.com.kh/buy/toul-svay-prey-1/6-bed-7-bath-villa-228873/,Toul Svay Prey 1,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Nirouth, Chbar Ampov, Phnom Penh",4900000,6,7,,2030,Villa,buy,https://www.realestate.com.kh/buy/nirouth/6-bed-7-bath-villa-232484/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Nirouth, Chbar Ampov, Phnom Penh",320000,4,5,,,Shophouse,buy,https://www.realestate.com.kh/buy/nirouth/4-bed-5-bath-shophouse-232471/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Chroy Changvar, Chroy Changvar, Phnom Penh",285978,5,5,220,,Penthouse,buy,https://www.realestate.com.kh/buy/chroy-changvar/5-bed-5-bath-penthouse-232420/,Chroy Changvar,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Phsar Chas, Daun Penh, Phnom Penh",120000,2,2,86,,Apartment,buy,https://www.realestate.com.kh/buy/phsar-chas/2-bed-2-bath-apartment-232396/,Phsar Chas,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Phsar Chas, Daun Penh, Phnom Penh",380000,2,1,200,,Apartment,buy,https://www.realestate.com.kh/buy/phsar-chas/2-bed-1-bath-apartment-232394/,Phsar Chas,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Tuol Sangke, Russey Keo, Phnom Penh",285000,4,5,,,Twin,buy,https://www.realestate.com.kh/buy/tuol-sangke/4-bed-5-bath-twin-villa-232393/,Tuol Sangke,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Tuek Thla, Sen Sok, Phnom Penh",390000,4,5,,,Twin,buy,https://www.realestate.com.kh/buy/tuek-thla/4-bed-5-bath-twin-villa-232391/,Tuek Thla,Sen Sok,Phnom Penh,37.651036,30.5361664
"Nirouth, Chbar Ampov, Phnom Penh",290000,4,5,,,Twin,buy,https://www.realestate.com.kh/buy/nirouth/4-bed-5-bath-twin-villa-232390/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
Urban Village Phase 1,120000,2,1,73,,Condo,buy,https://www.realestate.com.kh/new-developments/urban-village-phase-1/2-bed-1-bath-condo-232365/,,,,,
"Nirouth, Chbar Ampov, Phnom Penh",182500,4,5,,,Link,buy,https://www.realestate.com.kh/buy/nirouth/4-bed-5-bath-link-house-232349/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Nirouth, Chbar Ampov, Phnom Penh",680000,6,5,,,Villa,buy,https://www.realestate.com.kh/buy/nirouth/6-bed-5-bath-villa-232346/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Nirouth, Chbar Ampov, Phnom Penh",170000,4,5,,,Link,buy,https://www.realestate.com.kh/buy/nirouth/4-bed-5-bath-link-house-232344/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Preaek Ta Sek, Chroy Changvar, Phnom Penh",270000,4,5,,168,Twin,buy,https://www.realestate.com.kh/buy/preaek-ta-sek/4-bed-5-bath-twin-villa-232342/,Preaek Ta Sek,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Preaek Ta Sek, Chroy Changvar, Phnom Penh",245000,4,5,219,168,Twin,buy,https://www.realestate.com.kh/buy/preaek-ta-sek/4-bed-5-bath-twin-villa-232339/,Preaek Ta Sek,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Boeung Trabek, Chamkarmon, Phnom Penh",60000,1,1,38,,Apartment,buy,https://www.realestate.com.kh/buy/boeung-trabek/1-bed-1-bath-apartment-232298/,Boeung Trabek,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Boeung Trabek, Chamkarmon, Phnom Penh",70000,1,1,42,,Condo,buy,https://www.realestate.com.kh/buy/boeung-trabek/1-bed-1-bath-condo-232297/,Boeung Trabek,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Preaek Aeng, Chbar Ampov, Phnom Penh",130000,4,5,,,House,buy,https://www.realestate.com.kh/buy/preaek-aeng/4-bed-5-bath-house-232254/,Preaek Aeng,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"407/ 168, Ou Ruessei 1, 7 Makara, Phnom Penh",35000,,1,,54,House,buy,https://www.realestate.com.kh/buy/ou-ruessei-1/407-168-232241/,Ou Ruessei 1,7 Makara,Phnom Penh,,
