location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link,sangkat,khan,city/provice,lat,lon
"Chak Angrae Leu, Meanchey, Phnom Penh",145000,,,37,,House,buy,https://www.realestate.com.kh/buy/chak-angrae-leu/house-156148/,Chak Angrae Leu,Meanchey,Phnom Penh,13.104489,103.1978242
"Kamboul, Por Sen Chey, Phnom Penh",45000,,,69,,House,buy,https://www.realestate.com.kh/buy/kamboul/house-156147/,Kamboul,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Tuek Thla, Sen Sok, Phnom Penh",50000,,,60,,Condo,buy,https://www.realestate.com.kh/buy/tuek-thla/condo-156059/,Tuek Thla,Sen Sok,Phnom Penh,37.651036,30.5361664
"Por Sen Chey, Phnom Penh",180000,,,64,,Shophouse,buy,https://www.realestate.com.kh/buy/por-sen-chey/shophouse-156058/,,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Chaom Chau, Por Sen Chey, Phnom Penh",48000,,,55,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-155892/,Chaom Chau,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Tuol Sangke, Russey Keo, Phnom Penh",160000,,,360,,Land,buy,https://www.realestate.com.kh/buy/tuol-sangke/land-155888/,Tuol Sangke,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Tuek L'ak 3, Toul Kork, Phnom Penh",830000,,,76,,House,buy,https://www.realestate.com.kh/buy/tuek-lak-3/house-155887/,Tuek L'ak 3,Toul Kork,Phnom Penh,11.5738692,104.8996872
"Tuol Sangke, Russey Keo, Phnom Penh",188000,,,66,,House,buy,https://www.realestate.com.kh/buy/tuol-sangke/house-155886/,Tuol Sangke,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Dangkao, Phnom Penh",750000,,,336,,Shophouse,buy,https://www.realestate.com.kh/buy/dangkao/shophouse-155467/,,Dangkao,Phnom Penh,11.5057732,104.891422
"Kamboul, Por Sen Chey, Phnom Penh",75000,,,64,,House,buy,https://www.realestate.com.kh/buy/kamboul/house-155386/,Kamboul,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Sen Sok, Phnom Penh",67000,,,57,,Condo,buy,https://www.realestate.com.kh/buy/sen-sok/condo-155273/,,Sen Sok,Phnom Penh,37.651036,30.5361664
"Dangkao, Phnom Penh",65000,,,49,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-155272/,,Dangkao,Phnom Penh,11.5057732,104.891422
"Boeng Kak 2, Toul Kork, Phnom Penh",56000,1,1,28,,Condo,buy,https://www.realestate.com.kh/buy/boeng-kak-2/1-bed-1-bath-condo-155142/,Boeng Kak 2,Toul Kork,Phnom Penh,11.5738692,104.8996872
"Siem Reap, Siem Reap",75000,,,48,,House,buy,https://www.realestate.com.kh/buy/siem-reap/house-155140/,,Siem Reap,Siem Reap,13.3617562,103.8590321
"Prey Nheat, Kong Pisei, Kampong Speu",270000,,,104,,Villa,buy,https://www.realestate.com.kh/buy/prey-nheat/villa-155139/,Prey Nheat,Kong Pisei,Kampong Speu,11.3106024,104.62320857080852
"Dangkao, Phnom Penh",58900,,,,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-155138/,,Dangkao,Phnom Penh,11.5057732,104.891422
"Poipet, Poipet, Banteay Meanchey",160000,,,84,,Villa,buy,https://www.realestate.com.kh/buy/poipet/villa-155137/,Poipet,Poipet,Banteay Meanchey,13.6593962,102.5708301
"Tuol Sangke, Russey Keo, Phnom Penh",105333,,,66,,House,buy,https://www.realestate.com.kh/buy/tuol-sangke/house-155061/,Tuol Sangke,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Preaek Lieb, Chroy Changvar, Phnom Penh",148000,,,48,,Villa,buy,https://www.realestate.com.kh/buy/preaek-lieb/villa-155060/,Preaek Lieb,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Sla Kram, Siem Reap, Siem Reap",350000,,,,,Apartment,buy,https://www.realestate.com.kh/buy/sla-kram/apartment-155058/,Sla Kram,Siem Reap,Siem Reap,13.3617562,103.8590321
"Dangkao, Phnom Penh",170000,,,395,,Land,buy,https://www.realestate.com.kh/buy/dangkao/land-154994/,,Dangkao,Phnom Penh,11.5057732,104.891422
"Chaom Chau, Por Sen Chey, Phnom Penh",129000,,,56,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-154993/,Chaom Chau,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Stueng Mean chey, Meanchey, Phnom Penh",36800,,,,,House,buy,https://www.realestate.com.kh/buy/stueng-mean-chey/house-154843/,Stueng Mean chey,Meanchey,Phnom Penh,13.104489,103.1978242
"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh",100000,,,,,House,buy,https://www.realestate.com.kh/buy/phleung-chheh-roteh/house-154842/,Phleung Chheh Roteh,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Dangkao, Phnom Penh",55555,,,66,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-154841/,,Dangkao,Phnom Penh,11.5057732,104.891422
"Kamboul, Por Sen Chey, Phnom Penh",42500,,,50,,House,buy,https://www.realestate.com.kh/buy/kamboul/house-154840/,Kamboul,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Toul Kork, Phnom Penh",1700000,,,160,,Villa,buy,https://www.realestate.com.kh/buy/toul-kork/villa-154756/,,Toul Kork,Phnom Penh,11.5738692,104.8996872
"Chrang Chamres 2, Russey Keo, Phnom Penh",320000,,,78,,Villa,buy,https://www.realestate.com.kh/buy/chrang-chamres-2/villa-154664/,Chrang Chamres 2,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Meanchey, Phnom Penh",59000,,,68,,House,buy,https://www.realestate.com.kh/buy/meanchey/house-154663/,,Meanchey,Phnom Penh,13.104489,103.1978242
"Tuek L'ak 1, Toul Kork, Phnom Penh",450000,,,88,,House,buy,https://www.realestate.com.kh/buy/tuek-lak-1/house-154662/,Tuek L'ak 1,Toul Kork,Phnom Penh,11.5738692,104.8996872
"Kouk Roka, Prek Pnov, Phnom Penh",400000,,,185,,Shophouse,buy,https://www.realestate.com.kh/buy/kouk-roka/shophouse-154578/,Kouk Roka,Prek Pnov,Phnom Penh,11.6591915,104.8608617
"Nirouth, Chbar Ampov, Phnom Penh",200000,,,270,,House,buy,https://www.realestate.com.kh/buy/nirouth/house-154488/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Krang Thnong, Sen Sok, Phnom Penh",68000,,,48,,House,buy,https://www.realestate.com.kh/buy/krang-thnong/house-154487/,Krang Thnong,Sen Sok,Phnom Penh,37.651036,30.5361664
"Tuek Chhou, Kampot",550000,,,5,,Land,buy,https://www.realestate.com.kh/buy/tuek-chhou/land-154486/,,Tuek Chhou,Kampot,10.6040823,104.2496624
"Lvea Aem, Kandal",95000,,,636,,Land,buy,https://www.realestate.com.kh/buy/lvea-aem/land-154483/,,Lvea Aem,Kandal,11.5430427,105.0485316
"Tuek Chhou, Kampot",28000,,,300,,Land,buy,https://www.realestate.com.kh/buy/tuek-chhou/land-154297/,,Tuek Chhou,Kampot,10.6040823,104.2496624
"Krang Thnong, Sen Sok, Phnom Penh",390000,,,600,,Land,buy,https://www.realestate.com.kh/buy/krang-thnong/land-154296/,Krang Thnong,Sen Sok,Phnom Penh,37.651036,30.5361664
"Cheung Aek, Dangkao, Phnom Penh",79000,,,200,,Land,buy,https://www.realestate.com.kh/buy/cheung-aek/land-154294/,Cheung Aek,Dangkao,Phnom Penh,11.5057732,104.891422
"Stueng Mean chey, Meanchey, Phnom Penh",210000,,,240,,House,buy,https://www.realestate.com.kh/buy/stueng-mean-chey/house-154292/,Stueng Mean chey,Meanchey,Phnom Penh,13.104489,103.1978242
"Sangkat Pir, Sihanoukville, Sihanoukville",650000,,,307,,Villa,buy,https://www.realestate.com.kh/buy/sangkat-pir/villa-154291/,Sangkat Pir,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Tuol Sangke, Russey Keo, Phnom Penh",165000,,,198,,House,buy,https://www.realestate.com.kh/buy/tuol-sangke/house-154290/,Tuol Sangke,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Sla Kram, Siem Reap, Siem Reap",64000,,,60,,House,buy,https://www.realestate.com.kh/buy/sla-kram/house-154157/,Sla Kram,Siem Reap,Siem Reap,13.3617562,103.8590321
"Chaom Chau, Por Sen Chey, Phnom Penh",60000,,,151,,Land,buy,https://www.realestate.com.kh/buy/chaom-chau/land-154156/,Chaom Chau,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Kronhoung Saen Chey, Snuol, Kratie",20000,,,2,,Land,buy,https://www.realestate.com.kh/buy/kronhoung-saen-chey/land-154060/,Kronhoung Saen Chey,Snuol,Kratie,12.0722176,106.4204015
"Nirouth, Chbar Ampov, Phnom Penh",140000,,,42,,Shophouse,buy,https://www.realestate.com.kh/buy/nirouth/shophouse-154056/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Kakab 1, Por Sen Chey, Phnom Penh",325000,,,99,,Shophouse,buy,https://www.realestate.com.kh/buy/kakab-1/shophouse-154055/,Kakab 1,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Ou Baek K'am, Sen Sok, Phnom Penh",205000,,,56,,House,buy,https://www.realestate.com.kh/buy/ou-baek-kam/house-154054/,Ou Baek K'am,Sen Sok,Phnom Penh,37.651036,30.5361664
"Toul Kork, Phnom Penh",65000,,,45,,Flat,buy,https://www.realestate.com.kh/buy/toul-kork/flat-153971/,,Toul Kork,Phnom Penh,11.5738692,104.8996872
"Preaek Kampues, Dangkao, Phnom Penh",150000,,,600,,Land,buy,https://www.realestate.com.kh/buy/preaek-kampues/land-153969/,Preaek Kampues,Dangkao,Phnom Penh,11.5057732,104.891422
"Sangkat Bei, Sihanoukville, Sihanoukville",320000,,,200,,House,buy,https://www.realestate.com.kh/buy/sangkat-bei/house-153967/,Sangkat Bei,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Phnom Penh Thmey, Sen Sok, Phnom Penh",270000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/phnom-penh-thmey/twin-villa-153966/,Phnom Penh Thmey,Sen Sok,Phnom Penh,37.651036,30.5361664
"Por Sen Chey, Phnom Penh",55000,,,33,,House,buy,https://www.realestate.com.kh/buy/por-sen-chey/house-153965/,,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Otdam Soriya, Tram Kak, Takeo",75000,,,2079,,Land,buy,https://www.realestate.com.kh/buy/otdam-soriya/land-153961/,Otdam Soriya,Tram Kak,Takeo,,
"Phnom Penh Thmey, Sen Sok, Phnom Penh",315000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/phnom-penh-thmey/twin-villa-153960/,Phnom Penh Thmey,Sen Sok,Phnom Penh,37.651036,30.5361664
"Svay Dankum, Siem Reap, Siem Reap",135000,,,80,,Shophouse,buy,https://www.realestate.com.kh/buy/svay-dankum/shophouse-153840/,Svay Dankum,Siem Reap,Siem Reap,13.3617562,103.8590321
"Nirouth, Chbar Ampov, Phnom Penh",1380000,,,144,,Villa,buy,https://www.realestate.com.kh/buy/nirouth/villa-153837/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Snaor, Por Sen Chey, Phnom Penh",68000,,,67,,Shophouse,buy,https://www.realestate.com.kh/buy/snaor/shophouse-153836/,Snaor,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Pong Tuek, Dangkao, Phnom Penh",69995,,,63,,House,buy,https://www.realestate.com.kh/buy/pong-tuek/house-153833/,Pong Tuek,Dangkao,Phnom Penh,11.5057732,104.891422
"Prey Sa, Dangkao, Phnom Penh",135000,,,66,,House,buy,https://www.realestate.com.kh/buy/prey-sa/house-153832/,Prey Sa,Dangkao,Phnom Penh,11.5057732,104.891422
"Boeung Tumpun, Meanchey, Phnom Penh",155000,,,120,,House,buy,https://www.realestate.com.kh/buy/boeung-tumpun/house-153666/,Boeung Tumpun,Meanchey,Phnom Penh,13.104489,103.1978242
"Ponhea Lueu, Kandal",48000,,,1253,,Land,buy,https://www.realestate.com.kh/buy/ponhea-lueu/land-153665/,,Ponhea Lueu,Kandal,11.8197347,104.7974776
"Toul Kork, Phnom Penh",179999,,,75,,Condo,buy,https://www.realestate.com.kh/buy/toul-kork/condo-153573/,,Toul Kork,Phnom Penh,11.5738692,104.8996872
"Phum Thum, Kien Svay, Kandal",39900,,,,,House,buy,https://www.realestate.com.kh/buy/phum-thum/house-153572/,Phum Thum,Kien Svay,Kandal,11.516291800000001,105.0378315736296
"Dangkao, Phnom Penh",47500,,,50,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-153570/,,Dangkao,Phnom Penh,11.5057732,104.891422
"Dangkao, Phnom Penh",75000,,,67,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-153569/,,Dangkao,Phnom Penh,11.5057732,104.891422
"Nirouth, Chbar Ampov, Phnom Penh",850000,,,54,,House,buy,https://www.realestate.com.kh/buy/nirouth/house-153567/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Siem Reap, Siem Reap",99000,,,273,,House,buy,https://www.realestate.com.kh/buy/siem-reap/house-153445/,,Siem Reap,Siem Reap,13.3617562,103.8590321
"Por Sen Chey, Phnom Penh",120000,,,64,,House,buy,https://www.realestate.com.kh/buy/por-sen-chey/house-153444/,,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Sangkat Buon, Sihanoukville, Sihanoukville",185000,,,63,,Shophouse,buy,https://www.realestate.com.kh/buy/sangkat-buon/shophouse-153443/,Sangkat Buon,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Krang Thnong, Sen Sok, Phnom Penh",68000,,,,,House,buy,https://www.realestate.com.kh/buy/krang-thnong/house-153440/,Krang Thnong,Sen Sok,Phnom Penh,37.651036,30.5361664
"Por Sen Chey, Phnom Penh",280000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/por-sen-chey/twin-villa-153439/,,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Nirouth, Chbar Ampov, Phnom Penh",398000,,,90,,Twin,buy,https://www.realestate.com.kh/buy/nirouth/twin-villa-153305/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Chrang Chamres 2, Russey Keo, Phnom Penh",198000,,,68,,House,buy,https://www.realestate.com.kh/buy/chrang-chamres-2/house-153302/,Chrang Chamres 2,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Sen Sok, Phnom Penh",95000,,,75,,House,buy,https://www.realestate.com.kh/buy/sen-sok/house-153245/,,Sen Sok,Phnom Penh,37.651036,30.5361664
"Preaek Lieb, Chroy Changvar, Phnom Penh",299000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/preaek-lieb/twin-villa-153244/,Preaek Lieb,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Tuek Chhou, Kampot",123888,,,,,House,buy,https://www.realestate.com.kh/buy/tuek-chhou/house-153243/,,Tuek Chhou,Kampot,10.6040823,104.2496624
"Chreav, Siem Reap, Siem Reap",120000,,,85,,House,buy,https://www.realestate.com.kh/buy/chreav/house-153190/,Chreav,Siem Reap,Siem Reap,13.3617562,103.8590321
"Chrang Chamres 2, Russey Keo, Phnom Penh",755000,,,169,,Villa,buy,https://www.realestate.com.kh/buy/chrang-chamres-2/villa-153189/,Chrang Chamres 2,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Stueng Mean chey, Meanchey, Phnom Penh",155000,,,56,,Shophouse,buy,https://www.realestate.com.kh/buy/stueng-mean-chey/shophouse-153188/,Stueng Mean chey,Meanchey,Phnom Penh,13.104489,103.1978242
"Boeung Tumpun, Meanchey, Phnom Penh",850000,,,100,,Villa,buy,https://www.realestate.com.kh/buy/boeung-tumpun/villa-153186/,Boeung Tumpun,Meanchey,Phnom Penh,13.104489,103.1978242
"Tuol Sangke, Russey Keo, Phnom Penh",270000,,,67,,House,buy,https://www.realestate.com.kh/buy/tuol-sangke/house-153184/,Tuol Sangke,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Nirouth, Chbar Ampov, Phnom Penh",400000,,,90,,Twin,buy,https://www.realestate.com.kh/buy/nirouth/twin-villa-153125/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Svay Dankum, Siem Reap, Siem Reap",265000,,,192,,House,buy,https://www.realestate.com.kh/buy/svay-dankum/house-153124/,Svay Dankum,Siem Reap,Siem Reap,13.3617562,103.8590321
"Krang Thnong, Sen Sok, Phnom Penh",245000,,,73,,Twin,buy,https://www.realestate.com.kh/buy/krang-thnong/twin-villa-153123/,Krang Thnong,Sen Sok,Phnom Penh,37.651036,30.5361664
"Ta Khmau, Kandal",375000,,,128,,Villa,buy,https://www.realestate.com.kh/buy/ta-khmau/villa-153122/,,Ta Khmau,Kandal,11.4687395,104.9451162
"Kouk Khleang, Sen Sok, Phnom Penh",198000,,,82,,House,buy,https://www.realestate.com.kh/buy/kouk-khleang/house-153120/,Kouk Khleang,Sen Sok,Phnom Penh,37.651036,30.5361664
"Chaom Chau, Por Sen Chey, Phnom Penh",49666,,,,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-153119/,Chaom Chau,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Dangkao, Phnom Penh",278000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/dangkao/twin-villa-152855/,,Dangkao,Phnom Penh,11.5057732,104.891422
"Tuek Thla, Sen Sok, Phnom Penh",329000,,,66,,Villa,buy,https://www.realestate.com.kh/buy/tuek-thla/villa-152854/,Tuek Thla,Sen Sok,Phnom Penh,37.651036,30.5361664
"Veal Vong, 7 Makara, Phnom Penh",300000,,,126,,Condo,buy,https://www.realestate.com.kh/buy/veal-vong/condo-152853/,Veal Vong,7 Makara,Phnom Penh,11.5495588,104.9272305
"Preaek Lieb, Chroy Changvar, Phnom Penh",200000,,,75,,Shophouse,buy,https://www.realestate.com.kh/buy/preaek-lieb/shophouse-152851/,Preaek Lieb,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Nirouth, Chbar Ampov, Phnom Penh",275000,,,50,,Shophouse,buy,https://www.realestate.com.kh/buy/nirouth/shophouse-152850/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Chak Angrae Kraom, Meanchey, Phnom Penh",285000,,,54,,Shophouse,buy,https://www.realestate.com.kh/buy/chak-angrae-kraom/shophouse-152849/,Chak Angrae Kraom,Meanchey,Phnom Penh,13.104489,103.1978242
"Preaek Aeng, Chbar Ampov, Phnom Penh",225000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/preaek-aeng/twin-villa-152847/,Preaek Aeng,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Kamboul, Por Sen Chey, Phnom Penh",68000,,,104,,Villa,buy,https://www.realestate.com.kh/buy/kamboul/villa-152846/,Kamboul,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Kouk Roka, Prek Pnov, Phnom Penh",189800,,,67,,House,buy,https://www.realestate.com.kh/buy/kouk-roka/house-152845/,Kouk Roka,Prek Pnov,Phnom Penh,11.6591915,104.8608617
"Khmuonh, Sen Sok, Phnom Penh",460000,,,146,,House,buy,https://www.realestate.com.kh/buy/khmuonh/house-152780/,Khmuonh,Sen Sok,Phnom Penh,37.651036,30.5361664
"Chak Angrae Kraom, Meanchey, Phnom Penh",420000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/chak-angrae-kraom/twin-villa-152778/,Chak Angrae Kraom,Meanchey,Phnom Penh,13.104489,103.1978242
"Chey Chumneah, Daun Penh, Phnom Penh",450000,,,78,,House,buy,https://www.realestate.com.kh/buy/chey-chumneah/house-152677/,Chey Chumneah,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Boeung Tumpun, Meanchey, Phnom Penh",160000,,,209,,Land,buy,https://www.realestate.com.kh/buy/boeung-tumpun/land-152672/,Boeung Tumpun,Meanchey,Phnom Penh,13.104489,103.1978242
"Chaom Chau, Por Sen Chey, Phnom Penh",57999,,,80,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-152671/,Chaom Chau,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Chaom Chau, Por Sen Chey, Phnom Penh",98000,,,66,,Shophouse,buy,https://www.realestate.com.kh/buy/chaom-chau/shophouse-152669/,Chaom Chau,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Sala Kamraeuk, Siem Reap, Siem Reap",95000,,,61,,House,buy,https://www.realestate.com.kh/buy/sala-kamraeuk/house-152569/,Sala Kamraeuk,Siem Reap,Siem Reap,13.3617562,103.8590321
"Stueng Mean chey, Meanchey, Phnom Penh",125000,,,67,,Shophouse,buy,https://www.realestate.com.kh/buy/stueng-mean-chey/shophouse-152567/,Stueng Mean chey,Meanchey,Phnom Penh,13.104489,103.1978242
"Chaom Chau, Por Sen Chey, Phnom Penh",245000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/chaom-chau/twin-villa-152566/,Chaom Chau,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Ta Khmao, Ta Khmau, Kandal",155880,,,73,,House,buy,https://www.realestate.com.kh/buy/ta-khmao/house-152564/,Ta Khmao,Ta Khmau,Kandal,11.4687395,104.9451162
"Preaek Aeng, Chbar Ampov, Phnom Penh",245000,,,,,Villa,buy,https://www.realestate.com.kh/buy/preaek-aeng/villa-152470/,Preaek Aeng,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Phsar Thmei II, Daun Penh, Phnom Penh",455000,,,65,,Shophouse,buy,https://www.realestate.com.kh/buy/phsar-thmei-ii/shophouse-152467/,Phsar Thmei II,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Ponhea Lueu, Kandal",48000,,,1253,,Land,buy,https://www.realestate.com.kh/buy/ponhea-lueu/land-152466/,,Ponhea Lueu,Kandal,11.8197347,104.7974776
"Ou Baek K'am, Sen Sok, Phnom Penh",310000,,,70,,House,buy,https://www.realestate.com.kh/buy/ou-baek-kam/house-152465/,Ou Baek K'am,Sen Sok,Phnom Penh,37.651036,30.5361664
"Nirouth, Chbar Ampov, Phnom Penh",265000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/nirouth/twin-villa-152388/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Svay Dankum, Siem Reap, Siem Reap",95000,,,55,,House,buy,https://www.realestate.com.kh/buy/svay-dankum/house-152387/,Svay Dankum,Siem Reap,Siem Reap,13.3617562,103.8590321
"Preaek Aeng, Chbar Ampov, Phnom Penh",225000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/preaek-aeng/twin-villa-152386/,Preaek Aeng,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh",36000,,,210,,Land,buy,https://www.realestate.com.kh/buy/phleung-chheh-roteh/land-152384/,Phleung Chheh Roteh,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Snay Anhchet, Chum Kiri, Kampot",22000,,,3174,,Land,buy,https://www.realestate.com.kh/buy/snay-anhchet/land-152382/,Snay Anhchet,Chum Kiri,Kampot,10.922475,104.423295
"Kilomaetr Lekh Prammuoy, Russey Keo, Phnom Penh",265000,,,72,,Twin,buy,https://www.realestate.com.kh/buy/kilomaetr-lekh-prammuoy/twin-villa-152381/,Kilomaetr Lekh Prammuoy,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Dangkao, Phnom Penh",88000,,,64,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-152320/,,Dangkao,Phnom Penh,11.5057732,104.891422
"Krang Thnong, Sen Sok, Phnom Penh",152000,,,210,,Land,buy,https://www.realestate.com.kh/buy/krang-thnong/land-152319/,Krang Thnong,Sen Sok,Phnom Penh,37.651036,30.5361664
"Samraong Thum, Kien Svay, Kandal",75000,,,,,House,buy,https://www.realestate.com.kh/buy/samraong-thum/house-152318/,Samraong Thum,Kien Svay,Kandal,11.516291800000001,105.0378315736296
"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh",85000,,,570,,Land,buy,https://www.realestate.com.kh/buy/phleung-chheh-roteh/land-152315/,Phleung Chheh Roteh,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Prey Veaeng, Dangkao, Phnom Penh",18000,,,82,,Land,buy,https://www.realestate.com.kh/buy/prey-veaeng/land-152314/,Prey Veaeng,Dangkao,Phnom Penh,11.5057732,104.891422
"Ta Khmao, Ta Khmau, Kandal",129000,,,66,,House,buy,https://www.realestate.com.kh/buy/ta-khmao/house-152239/,Ta Khmao,Ta Khmau,Kandal,11.4687395,104.9451162
"Nirouth, Chbar Ampov, Phnom Penh",235000,,,255,,House,buy,https://www.realestate.com.kh/buy/nirouth/house-152138/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Phnom Penh Thmey, Sen Sok, Phnom Penh",185000,,,49,,Villa,buy,https://www.realestate.com.kh/buy/phnom-penh-thmey/villa-152137/,Phnom Penh Thmey,Sen Sok,Phnom Penh,37.651036,30.5361664
"Kracheh, Kratie",18000,,,2,,Land,buy,https://www.realestate.com.kh/buy/kracheh/land-152136/,,Kracheh,Kratie,,
"Chaom Chau, Por Sen Chey, Phnom Penh",168000,,,100,,Shophouse,buy,https://www.realestate.com.kh/buy/chaom-chau/shophouse-152135/,Chaom Chau,Por Sen Chey,Phnom Penh,11.5432301,104.8346465
"Bakong, Prasat Bakong, Siem Reap",98,,,,,Land,buy,https://www.realestate.com.kh/buy/bakong/siem-reap-dabest-properties-cambodia-139764/,Bakong,Prasat Bakong,Siem Reap,13.3421471,103.9978446
"Phnom Penh Thmey, Sen Sok, Phnom Penh",690000,,,,600,Land,buy,https://www.realestate.com.kh/buy/phnom-penh-thmey/land-232874/,Phnom Penh Thmey,Sen Sok,Phnom Penh,37.651036,30.5361664
"Chreav, Siem Reap, Siem Reap",600000,4,5,,,House,buy,https://www.realestate.com.kh/buy/chreav/4-bed-5-bath-house-232860/,Chreav,Siem Reap,Siem Reap,13.3617562,103.8590321
"Sla Kram, Siem Reap, Siem Reap",330000,3,4,,,Flat,buy,https://www.realestate.com.kh/buy/sla-kram/3-bed-4-bath-flat-house-232859/,Sla Kram,Siem Reap,Siem Reap,13.3617562,103.8590321
"Chroy Changvar, Chroy Changvar, Phnom Penh",110000,1,1,59,,Condo,buy,https://www.realestate.com.kh/buy/chroy-changvar/1-bed-1-bath-condo-232858/,Chroy Changvar,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Chak Angrae Leu, Meanchey, Phnom Penh",79000,2,1,52,,Condo,buy,https://www.realestate.com.kh/buy/chak-angrae-leu/sen-boulevard-hun-232853/,Chak Angrae Leu,Meanchey,Phnom Penh,13.104489,103.1978242
"60M , Cheung Aek, Dangkao, Phnom Penh",1150000,6,8,507,425,Villa,buy,https://www.realestate.com.kh/buy/cheung-aek/60m-232852/,Cheung Aek,Dangkao,Phnom Penh,,
"Takeo Streer 000 Boeng, Roka Knong, Doun Kaev, Takeo",180000,,,,,Land,buy,https://www.realestate.com.kh/buy/roka-knong/takeo-streer-000-boeng-232849/,Roka Knong,Doun Kaev,Takeo,,
"Sangkat Bei, Sihanoukville, Sihanoukville",250000,7,6,,100,Flat,buy,https://www.realestate.com.kh/buy/sangkat-bei/7-bed-6-bath-flat-house-232846/,Sangkat Bei,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"10, Chak Angrae Kraom, Meanchey, Phnom Penh",210000,5,4,,,House,buy,https://www.realestate.com.kh/buy/chak-angrae-kraom/10-232831/,Chak Angrae Kraom,Meanchey,Phnom Penh,,
