,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link
525,"Kouk Khleang, Sen Sok, Phnom Penh","$49,000",,,50,,House,buy,https://www.realestate.com.kh/buy/kouk-khleang/house-162835/
526,"Chaom Chau, Por Sen Chey, Phnom Penh","$30,000",,,,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-162834/
527,"Por Sen Chey, Phnom Penh","$168,000",,,66,,Shophouse,buy,https://www.realestate.com.kh/buy/por-sen-chey/shophouse-162833/
528,"Chreav, Siem Reap, Siem Reap","$330,000",,,300,,Villa,buy,https://www.realestate.com.kh/buy/chreav/villa-162393/
529,"Tuek Thla, Sen Sok, Phnom Penh","$110,000",,,50,,Condo,buy,https://www.realestate.com.kh/buy/tuek-thla/condo-162391/
530,"Por Sen Chey, Phnom Penh","$150,000",,,63,,Shophouse,buy,https://www.realestate.com.kh/buy/por-sen-chey/shophouse-162387/
531,"Nirouth, Chbar Ampov, Phnom Penh","$155,000",,,,,Shophouse,buy,https://www.realestate.com.kh/buy/nirouth/shophouse-160778/
532,"Nirouth, Chbar Ampov, Phnom Penh","$130,000",,,42,,Shophouse,buy,https://www.realestate.com.kh/buy/nirouth/shophouse-160777/
533,"Veal Vong, 7 Makara, Phnom Penh","$125,000",1,1.0,47,,Flat,buy,https://www.realestate.com.kh/buy/veal-vong/1-bed-1-bath-flat-160771/
534,"Kandal Stueng, Kandal","$45,000",,,2192,,Land,buy,https://www.realestate.com.kh/buy/kandal-stueng/land-160770/
535,"Nirouth, Chbar Ampov, Phnom Penh","$3,900,000",,,346,,Villa,buy,https://www.realestate.com.kh/buy/nirouth/villa-160759/
536,"Sla Kram, Siem Reap, Siem Reap","$250,000",,,384,,House,buy,https://www.realestate.com.kh/buy/sla-kram/house-160553/
537,"Dangkao, Phnom Penh","$86,000",,,64,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-160551/
538,"Dangkao, Phnom Penh","$80,000",,,64,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-160550/
539,"Dangkao, Phnom Penh","$235,000",,,64,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-160549/
540,"Samraong Kraom, Por Sen Chey, Phnom Penh","$97,880",,,200,,House,buy,https://www.realestate.com.kh/buy/samraong-kraom/house-160428/
541,"Lvea Aem, Kandal","$380,000",,,1500,,Land,buy,https://www.realestate.com.kh/buy/lvea-aem/land-160331/
542,"Lvea Aem, Kandal","$280,000",,,1400,,Land,buy,https://www.realestate.com.kh/buy/lvea-aem/land-160330/
543,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$240,000",,,147,,Twin,buy,https://www.realestate.com.kh/buy/phnom-penh-thmey/twin-villa-160324/
544,"Krang Thnong, Sen Sok, Phnom Penh","$98,000",,,49,,Shophouse,buy,https://www.realestate.com.kh/buy/krang-thnong/shophouse-160320/
545,"Sala Kamraeuk, Siem Reap, Siem Reap","$76,000",,,280,,House,buy,https://www.realestate.com.kh/buy/sala-kamraeuk/house-160106/
546,"Por Sen Chey, Phnom Penh","$43,800",,,75,,House,buy,https://www.realestate.com.kh/buy/por-sen-chey/house-160105/
547,"Chrang Chamres I, Russey Keo, Phnom Penh","$179,000",,,,,House,buy,https://www.realestate.com.kh/buy/chrang-chamres-i/house-160102/
548,"Ta Khmao, Ta Khmau, Kandal","$750,000",,,622,,Villa,buy,https://www.realestate.com.kh/buy/ta-khmao/villa-158802/
549,"Phnom Penh, Phnom Penh","$31,980",,,43,,House,buy,https://www.realestate.com.kh/buy/phnom-penh/house-158714/
550,"Prey Sa, Dangkao, Phnom Penh","$70,000",,,,,House,buy,https://www.realestate.com.kh/buy/prey-sa/house-158710/
551,"Svay Por, Battambang, Battambang","$180,000",,,99,,House,buy,https://www.realestate.com.kh/buy/svay-por/house-158571/
552,"Khnar Pou, Sout Nikom, Siem Reap","$975,000",,,13,,Land,buy,https://www.realestate.com.kh/buy/khnar-pou/land-158570/
553,"Ballangk, Prasat Bakong, Siem Reap","$5,300,000",,,53,,Land,buy,https://www.realestate.com.kh/buy/ballangk/land-158567/
554,"Peak Sneng, Angkor Thum, Siem Reap","$250,000",,,25,,Land,buy,https://www.realestate.com.kh/buy/peak-sneng/land-158566/
555,"Chrang Chamres 2, Russey Keo, Phnom Penh","$299,999",,,72,,Twin,buy,https://www.realestate.com.kh/buy/chrang-chamres-2/twin-villa-158561/
556,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$74,000",,,49,,Condo,buy,https://www.realestate.com.kh/buy/toul-tum-poung-1/condo-158228/
557,"Toul Kork, Phnom Penh","$54,000",,,,,Condo,buy,https://www.realestate.com.kh/buy/toul-kork/condo-158227/
558,"Ta Khmao, Ta Khmau, Kandal","$108,000",,,180,,House,buy,https://www.realestate.com.kh/buy/ta-khmao/house-158225/
559,"S'ang, Kandal","$90,000",,,200,,House,buy,https://www.realestate.com.kh/buy/sang/house-158115/
560,"Sala Kamraeuk, Siem Reap, Siem Reap","$260,000",,,96,,House,buy,https://www.realestate.com.kh/buy/sala-kamraeuk/house-158114/
561,"Por Sen Chey, Phnom Penh","$59,500",,,49,,House,buy,https://www.realestate.com.kh/buy/por-sen-chey/house-157990/
562,"Ta Khmao, Ta Khmau, Kandal","$440,000",,,96,,Villa,buy,https://www.realestate.com.kh/buy/ta-khmao/villa-157983/
563,"Preaek Thmei, Chbar Ampov, Phnom Penh","$46,000",,,49,,House,buy,https://www.realestate.com.kh/buy/preaek-thmei/house-157980/
564,"Russey Keo, Phnom Penh","$75,500",,,52,,House,buy,https://www.realestate.com.kh/buy/russey-keo/house-157884/
565,"Por Sen Chey, Phnom Penh","$99,000",,,,,House,buy,https://www.realestate.com.kh/buy/por-sen-chey/house-157882/
566,"Toul Kork, Phnom Penh","$1,900,000",,,320,,Villa,buy,https://www.realestate.com.kh/buy/toul-kork/villa-157879/
567,"Chaom Chau, Por Sen Chey, Phnom Penh","$45,000",,,32,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-157780/
568,"Kampot, Kampot","$6,500",,,629,,Land,buy,https://www.realestate.com.kh/buy/kampot/land-157778/
569,"Nirouth, Chbar Ampov, Phnom Penh","$1,399,000",,,144,,Villa,buy,https://www.realestate.com.kh/buy/nirouth/villa-157776/
570,"Olympic, Chamkarmon, Phnom Penh","$300,000",3,,127,,Condo,buy,https://www.realestate.com.kh/buy/olympic/3-bed-condo-157569/
571,"Boeung Tumpun, Meanchey, Phnom Penh","$63,000",1,1.0,47,,Condo,buy,https://www.realestate.com.kh/buy/boeung-tumpun/1-bed-1-bath-condo-157568/
572,"Khmuonh, Sen Sok, Phnom Penh","$600,000",,,300,,Villa,buy,https://www.realestate.com.kh/buy/khmuonh/villa-157564/
573,"S'ang, Kandal","$33,000",,,33,,Shophouse,buy,https://www.realestate.com.kh/buy/sang/shophouse-157562/
574,"Chbar Ampov, Phnom Penh","$188,000",,,100,,Villa,buy,https://www.realestate.com.kh/buy/chbar-ampov/villa-157560/
575,"Boeung Tumpun, Meanchey, Phnom Penh","$53,000",1,1.0,47,,Condo,buy,https://www.realestate.com.kh/buy/boeung-tumpun/1-bed-1-bath-condo-157434/
576,"Dangkao, Phnom Penh","$195,000",,,64,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-157433/
577,"Toul Kork, Phnom Penh","$350,000",,,70,,Shophouse,buy,https://www.realestate.com.kh/buy/toul-kork/shophouse-157429/
578,"Dangkao, Phnom Penh","$145,000",,,50,,Shophouse,buy,https://www.realestate.com.kh/buy/dangkao/shophouse-157426/
579,"Odongk, Kampong Speu","$55,000",,,88,,Villa,buy,https://www.realestate.com.kh/buy/odongk/villa-157261/
580,"Chreav, Siem Reap, Siem Reap","$38,500",,,,,House,buy,https://www.realestate.com.kh/buy/chreav/house-157259/
581,"Chak Angrae Kraom, Meanchey, Phnom Penh","$265,000",,,54,,House,buy,https://www.realestate.com.kh/buy/chak-angrae-kraom/house-157121/
582,"Siem Reap, Siem Reap","$70,000",,,56,,House,buy,https://www.realestate.com.kh/buy/siem-reap/house-157119/
583,"Chaom Chau, Por Sen Chey, Phnom Penh","$67,000",,,,,Twin,buy,https://www.realestate.com.kh/buy/chaom-chau/twin-villa-157117/
584,"Chroy Changvar, Phnom Penh","$150,000",,,80,,Villa,buy,https://www.realestate.com.kh/buy/chroy-changvar/villa-156993/
585,"Krang Thnong, Sen Sok, Phnom Penh","$230,000",,,66,,Shophouse,buy,https://www.realestate.com.kh/buy/krang-thnong/shophouse-156992/
586,"Preaek Pnov, Prek Pnov, Phnom Penh","$50,999",,,48,,House,buy,https://www.realestate.com.kh/buy/preaek-pnov/house-156988/
587,"Krang Thnong, Sen Sok, Phnom Penh","$56,880",,,50,,House,buy,https://www.realestate.com.kh/buy/krang-thnong/house-156986/
588,"Sihanoukville, Sihanoukville","$200,000",,,154,,Villa,buy,https://www.realestate.com.kh/buy/sihanoukville/villa-156766/
589,"Prek Ho, Ta Khmau, Kandal","$600,000",,,324,,Villa,buy,https://www.realestate.com.kh/buy/prek-ho/villa-156765/
590,"Kampot, Kampot","$800,000",,,800,,Land,buy,https://www.realestate.com.kh/buy/kampot/land-156699/
591,"Chak Angrae Kraom, Meanchey, Phnom Penh","$160,000",,,66,,House,buy,https://www.realestate.com.kh/buy/chak-angrae-kraom/house-156698/
592,"Dangkao, Phnom Penh","$215,000",,,104,,Villa,buy,https://www.realestate.com.kh/buy/dangkao/villa-156305/
593,"Kampong Kraeng, Tuek Chhou, Kampot","$500,000",,,1115,,Land,buy,https://www.realestate.com.kh/buy/kampong-kraeng/land-156300/
594,"Meanchey, Phnom Penh","$199,000",,,60,,House,buy,https://www.realestate.com.kh/buy/meanchey/house-156299/
595,"Russey Keo, Phnom Penh","$210,000",,,72,,Villa,buy,https://www.realestate.com.kh/buy/russey-keo/villa-156298/
596,"Kaoh Thum, Kandal","$9,500",,,900,,Land,buy,https://www.realestate.com.kh/buy/kaoh-thum/land-156297/
597,"Sangkat Muoy, Sihanoukville, Sihanoukville","$650,000",,,307,,Villa,buy,https://www.realestate.com.kh/buy/sangkat-muoy/villa-156295/
598,"Tumnob Tuek, Chamkarmon, Phnom Penh","$590,000",,,117,,Shophouse,buy,https://www.realestate.com.kh/buy/tumnob-tuek/shophouse-156257/
599,"Chaom Chau, Por Sen Chey, Phnom Penh","$92,000",,,42,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-156255/
600,"Boeung Tumpun, Meanchey, Phnom Penh","$65,000",,,48,,House,buy,https://www.realestate.com.kh/buy/boeung-tumpun/house-156254/
601,"BKK 1, Chamkarmon, Phnom Penh","$175,000",,,50,,Studio,buy,https://www.realestate.com.kh/buy/bkk-1/studio-156231/
602,"Dangkao, Phnom Penh","$52,000",,,54,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-156229/
603,"Sla Kram, Siem Reap, Siem Reap","$80,000",,,108,,House,buy,https://www.realestate.com.kh/buy/sla-kram/house-156228/
604,"Sla Kram, Siem Reap, Siem Reap","$135,000",,,78,,Shophouse,buy,https://www.realestate.com.kh/buy/sla-kram/shophouse-156226/
605,"Ta Khmao, Ta Khmau, Kandal","$350,000",,,1380,,Land,buy,https://www.realestate.com.kh/buy/ta-khmao/land-156225/
606,"Chreav, Siem Reap, Siem Reap","$29,500",,,61,,House,buy,https://www.realestate.com.kh/buy/chreav/house-156149/
607,"Chak Angrae Leu, Meanchey, Phnom Penh","$145,000",,,37,,House,buy,https://www.realestate.com.kh/buy/chak-angrae-leu/house-156148/
608,"Kamboul, Por Sen Chey, Phnom Penh","$45,000",,,69,,House,buy,https://www.realestate.com.kh/buy/kamboul/house-156147/
609,"Tuek Thla, Sen Sok, Phnom Penh","$50,000",,,60,,Condo,buy,https://www.realestate.com.kh/buy/tuek-thla/condo-156059/
610,"Por Sen Chey, Phnom Penh","$180,000",,,64,,Shophouse,buy,https://www.realestate.com.kh/buy/por-sen-chey/shophouse-156058/
611,"Chaom Chau, Por Sen Chey, Phnom Penh","$48,000",,,55,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-155892/
612,"Tuol Sangke, Russey Keo, Phnom Penh","$160,000",,,360,,Land,buy,https://www.realestate.com.kh/buy/tuol-sangke/land-155888/
613,"Tuek L'ak 3, Toul Kork, Phnom Penh","$830,000",,,76,,House,buy,https://www.realestate.com.kh/buy/tuek-lak-3/house-155887/
614,"Tuol Sangke, Russey Keo, Phnom Penh","$188,000",,,66,,House,buy,https://www.realestate.com.kh/buy/tuol-sangke/house-155886/
615,"Dangkao, Phnom Penh","$750,000",,,336,,Shophouse,buy,https://www.realestate.com.kh/buy/dangkao/shophouse-155467/
616,"Kamboul, Por Sen Chey, Phnom Penh","$75,000",,,64,,House,buy,https://www.realestate.com.kh/buy/kamboul/house-155386/
617,"Sen Sok, Phnom Penh","$67,000",,,57,,Condo,buy,https://www.realestate.com.kh/buy/sen-sok/condo-155273/
618,"Dangkao, Phnom Penh","$65,000",,,49,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-155272/
619,"Boeng Kak 2, Toul Kork, Phnom Penh","$56,000",1,1.0,28,,Condo,buy,https://www.realestate.com.kh/buy/boeng-kak-2/1-bed-1-bath-condo-155142/
620,"Siem Reap, Siem Reap","$75,000",,,48,,House,buy,https://www.realestate.com.kh/buy/siem-reap/house-155140/
621,"Prey Nheat, Kong Pisei, Kampong Speu","$270,000",,,104,,Villa,buy,https://www.realestate.com.kh/buy/prey-nheat/villa-155139/
622,"Dangkao, Phnom Penh","$58,900",,,,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-155138/
623,"Poipet, Poipet, Banteay Meanchey","$160,000",,,84,,Villa,buy,https://www.realestate.com.kh/buy/poipet/villa-155137/
624,"Tuol Sangke, Russey Keo, Phnom Penh","$105,333",,,66,,House,buy,https://www.realestate.com.kh/buy/tuol-sangke/house-155061/
625,"Preaek Lieb, Chroy Changvar, Phnom Penh","$148,000",,,48,,Villa,buy,https://www.realestate.com.kh/buy/preaek-lieb/villa-155060/
626,"Sla Kram, Siem Reap, Siem Reap","$350,000",,,,,Apartment,buy,https://www.realestate.com.kh/buy/sla-kram/apartment-155058/
627,"Dangkao, Phnom Penh","$170,000",,,395,,Land,buy,https://www.realestate.com.kh/buy/dangkao/land-154994/
628,"Chaom Chau, Por Sen Chey, Phnom Penh","$129,000",,,56,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-154993/
629,"Stueng Mean chey, Meanchey, Phnom Penh","$36,800",,,,,House,buy,https://www.realestate.com.kh/buy/stueng-mean-chey/house-154843/
630,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$100,000",,,,,House,buy,https://www.realestate.com.kh/buy/phleung-chheh-roteh/house-154842/
631,"Dangkao, Phnom Penh","$55,555",,,66,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-154841/
632,"Kamboul, Por Sen Chey, Phnom Penh","$42,500",,,50,,House,buy,https://www.realestate.com.kh/buy/kamboul/house-154840/
633,"Toul Kork, Phnom Penh","$1,700,000",,,160,,Villa,buy,https://www.realestate.com.kh/buy/toul-kork/villa-154756/
634,"Chrang Chamres 2, Russey Keo, Phnom Penh","$320,000",,,78,,Villa,buy,https://www.realestate.com.kh/buy/chrang-chamres-2/villa-154664/
635,"Meanchey, Phnom Penh","$59,000",,,68,,House,buy,https://www.realestate.com.kh/buy/meanchey/house-154663/
636,"Tuek L'ak 1, Toul Kork, Phnom Penh","$450,000",,,88,,House,buy,https://www.realestate.com.kh/buy/tuek-lak-1/house-154662/
637,"Kouk Roka, Prek Pnov, Phnom Penh","$400,000",,,185,,Shophouse,buy,https://www.realestate.com.kh/buy/kouk-roka/shophouse-154578/
638,"Nirouth, Chbar Ampov, Phnom Penh","$200,000",,,270,,House,buy,https://www.realestate.com.kh/buy/nirouth/house-154488/
639,"Krang Thnong, Sen Sok, Phnom Penh","$68,000",,,48,,House,buy,https://www.realestate.com.kh/buy/krang-thnong/house-154487/
640,"Tuek Chhou, Kampot","$550,000",,,5,,Land,buy,https://www.realestate.com.kh/buy/tuek-chhou/land-154486/
641,"Lvea Aem, Kandal","$95,000",,,636,,Land,buy,https://www.realestate.com.kh/buy/lvea-aem/land-154483/
642,"Tuek Chhou, Kampot","$28,000",,,300,,Land,buy,https://www.realestate.com.kh/buy/tuek-chhou/land-154297/
643,"Krang Thnong, Sen Sok, Phnom Penh","$390,000",,,600,,Land,buy,https://www.realestate.com.kh/buy/krang-thnong/land-154296/
644,"Cheung Aek, Dangkao, Phnom Penh","$79,000",,,200,,Land,buy,https://www.realestate.com.kh/buy/cheung-aek/land-154294/
645,"Stueng Mean chey, Meanchey, Phnom Penh","$210,000",,,240,,House,buy,https://www.realestate.com.kh/buy/stueng-mean-chey/house-154292/
646,"Sangkat Pir, Sihanoukville, Sihanoukville","$650,000",,,307,,Villa,buy,https://www.realestate.com.kh/buy/sangkat-pir/villa-154291/
647,"Tuol Sangke, Russey Keo, Phnom Penh","$165,000",,,198,,House,buy,https://www.realestate.com.kh/buy/tuol-sangke/house-154290/
648,"Sla Kram, Siem Reap, Siem Reap","$64,000",,,60,,House,buy,https://www.realestate.com.kh/buy/sla-kram/house-154157/
649,"Chaom Chau, Por Sen Chey, Phnom Penh","$60,000",,,151,,Land,buy,https://www.realestate.com.kh/buy/chaom-chau/land-154156/
650,"Kronhoung Saen Chey, Snuol, Kratie","$20,000",,,2,,Land,buy,https://www.realestate.com.kh/buy/kronhoung-saen-chey/land-154060/
651,"Nirouth, Chbar Ampov, Phnom Penh","$140,000",,,42,,Shophouse,buy,https://www.realestate.com.kh/buy/nirouth/shophouse-154056/
652,"Kakab 1, Por Sen Chey, Phnom Penh","$325,000",,,99,,Shophouse,buy,https://www.realestate.com.kh/buy/kakab-1/shophouse-154055/
653,"Ou Baek K'am, Sen Sok, Phnom Penh","$205,000",,,56,,House,buy,https://www.realestate.com.kh/buy/ou-baek-kam/house-154054/
654,"Toul Kork, Phnom Penh","$65,000",,,45,,Flat,buy,https://www.realestate.com.kh/buy/toul-kork/flat-153971/
655,"Preaek Kampues, Dangkao, Phnom Penh","$150,000",,,600,,Land,buy,https://www.realestate.com.kh/buy/preaek-kampues/land-153969/
656,"Sangkat Bei, Sihanoukville, Sihanoukville","$320,000",,,200,,House,buy,https://www.realestate.com.kh/buy/sangkat-bei/house-153967/
657,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$270,000",,,72,,Twin,buy,https://www.realestate.com.kh/buy/phnom-penh-thmey/twin-villa-153966/
658,"Por Sen Chey, Phnom Penh","$55,000",,,33,,House,buy,https://www.realestate.com.kh/buy/por-sen-chey/house-153965/
659,"Otdam Soriya, Tram Kak, Takeo","$75,000",,,2079,,Land,buy,https://www.realestate.com.kh/buy/otdam-soriya/land-153961/
660,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$315,000",,,72,,Twin,buy,https://www.realestate.com.kh/buy/phnom-penh-thmey/twin-villa-153960/
661,"Svay Dankum, Siem Reap, Siem Reap","$135,000",,,80,,Shophouse,buy,https://www.realestate.com.kh/buy/svay-dankum/shophouse-153840/
662,"Nirouth, Chbar Ampov, Phnom Penh","$1,380,000",,,144,,Villa,buy,https://www.realestate.com.kh/buy/nirouth/villa-153837/
663,"Snaor, Por Sen Chey, Phnom Penh","$68,000",,,67,,Shophouse,buy,https://www.realestate.com.kh/buy/snaor/shophouse-153836/
664,"Pong Tuek, Dangkao, Phnom Penh","$69,995",,,63,,House,buy,https://www.realestate.com.kh/buy/pong-tuek/house-153833/
665,"Prey Sa, Dangkao, Phnom Penh","$135,000",,,66,,House,buy,https://www.realestate.com.kh/buy/prey-sa/house-153832/
666,"Boeung Tumpun, Meanchey, Phnom Penh","$155,000",,,120,,House,buy,https://www.realestate.com.kh/buy/boeung-tumpun/house-153666/
667,"Ponhea Lueu, Kandal","$48,000",,,1253,,Land,buy,https://www.realestate.com.kh/buy/ponhea-lueu/land-153665/
668,"Toul Kork, Phnom Penh","$179,999",,,75,,Condo,buy,https://www.realestate.com.kh/buy/toul-kork/condo-153573/
669,"Phum Thum, Kien Svay, Kandal","$39,900",,,,,House,buy,https://www.realestate.com.kh/buy/phum-thum/house-153572/
670,"Dangkao, Phnom Penh","$47,500",,,50,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-153570/
671,"Dangkao, Phnom Penh","$75,000",,,67,,House,buy,https://www.realestate.com.kh/buy/dangkao/house-153569/
672,"Nirouth, Chbar Ampov, Phnom Penh","$850,000",,,54,,House,buy,https://www.realestate.com.kh/buy/nirouth/house-153567/
673,"Siem Reap, Siem Reap","$99,000",,,273,,House,buy,https://www.realestate.com.kh/buy/siem-reap/house-153445/
674,"Por Sen Chey, Phnom Penh","$120,000",,,64,,House,buy,https://www.realestate.com.kh/buy/por-sen-chey/house-153444/
675,"Sangkat Buon, Sihanoukville, Sihanoukville","$185,000",,,63,,Shophouse,buy,https://www.realestate.com.kh/buy/sangkat-buon/shophouse-153443/
676,"Krang Thnong, Sen Sok, Phnom Penh","$68,000",,,,,House,buy,https://www.realestate.com.kh/buy/krang-thnong/house-153440/
677,"Por Sen Chey, Phnom Penh","$280,000",,,72,,Twin,buy,https://www.realestate.com.kh/buy/por-sen-chey/twin-villa-153439/
678,"Nirouth, Chbar Ampov, Phnom Penh","$398,000",,,90,,Twin,buy,https://www.realestate.com.kh/buy/nirouth/twin-villa-153305/
679,"Chrang Chamres 2, Russey Keo, Phnom Penh","$198,000",,,68,,House,buy,https://www.realestate.com.kh/buy/chrang-chamres-2/house-153302/
680,"Sen Sok, Phnom Penh","$95,000",,,75,,House,buy,https://www.realestate.com.kh/buy/sen-sok/house-153245/
681,"Preaek Lieb, Chroy Changvar, Phnom Penh","$299,000",,,72,,Twin,buy,https://www.realestate.com.kh/buy/preaek-lieb/twin-villa-153244/
682,"Tuek Chhou, Kampot","$123,888",,,,,House,buy,https://www.realestate.com.kh/buy/tuek-chhou/house-153243/
683,"Chreav, Siem Reap, Siem Reap","$120,000",,,85,,House,buy,https://www.realestate.com.kh/buy/chreav/house-153190/
684,"Chrang Chamres 2, Russey Keo, Phnom Penh","$755,000",,,169,,Villa,buy,https://www.realestate.com.kh/buy/chrang-chamres-2/villa-153189/
685,"Stueng Mean chey, Meanchey, Phnom Penh","$155,000",,,56,,Shophouse,buy,https://www.realestate.com.kh/buy/stueng-mean-chey/shophouse-153188/
686,"Boeung Tumpun, Meanchey, Phnom Penh","$850,000",,,100,,Villa,buy,https://www.realestate.com.kh/buy/boeung-tumpun/villa-153186/
687,"Tuol Sangke, Russey Keo, Phnom Penh","$270,000",,,67,,House,buy,https://www.realestate.com.kh/buy/tuol-sangke/house-153184/
688,"Nirouth, Chbar Ampov, Phnom Penh","$400,000",,,90,,Twin,buy,https://www.realestate.com.kh/buy/nirouth/twin-villa-153125/
689,"Svay Dankum, Siem Reap, Siem Reap","$265,000",,,192,,House,buy,https://www.realestate.com.kh/buy/svay-dankum/house-153124/
690,"Krang Thnong, Sen Sok, Phnom Penh","$245,000",,,73,,Twin,buy,https://www.realestate.com.kh/buy/krang-thnong/twin-villa-153123/
691,"Ta Khmau, Kandal","$375,000",,,128,,Villa,buy,https://www.realestate.com.kh/buy/ta-khmau/villa-153122/
692,"Kouk Khleang, Sen Sok, Phnom Penh","$198,000",,,82,,House,buy,https://www.realestate.com.kh/buy/kouk-khleang/house-153120/
693,"Chaom Chau, Por Sen Chey, Phnom Penh","$49,666",,,,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-153119/
694,"Dangkao, Phnom Penh","$278,000",,,72,,Twin,buy,https://www.realestate.com.kh/buy/dangkao/twin-villa-152855/
695,"Tuek Thla, Sen Sok, Phnom Penh","$329,000",,,66,,Villa,buy,https://www.realestate.com.kh/buy/tuek-thla/villa-152854/
696,"Veal Vong, 7 Makara, Phnom Penh","$300,000",,,126,,Condo,buy,https://www.realestate.com.kh/buy/veal-vong/condo-152853/
697,"Preaek Lieb, Chroy Changvar, Phnom Penh","$200,000",,,75,,Shophouse,buy,https://www.realestate.com.kh/buy/preaek-lieb/shophouse-152851/
698,"Nirouth, Chbar Ampov, Phnom Penh","$275,000",,,50,,Shophouse,buy,https://www.realestate.com.kh/buy/nirouth/shophouse-152850/
699,"Chak Angrae Kraom, Meanchey, Phnom Penh","$285,000",,,54,,Shophouse,buy,https://www.realestate.com.kh/buy/chak-angrae-kraom/shophouse-152849/
700,"Preaek Aeng, Chbar Ampov, Phnom Penh","$225,000",,,72,,Twin,buy,https://www.realestate.com.kh/buy/preaek-aeng/twin-villa-152847/
701,"Kamboul, Por Sen Chey, Phnom Penh","$68,000",,,104,,Villa,buy,https://www.realestate.com.kh/buy/kamboul/villa-152846/
702,"Kouk Roka, Prek Pnov, Phnom Penh","$189,800",,,67,,House,buy,https://www.realestate.com.kh/buy/kouk-roka/house-152845/
703,"Khmuonh, Sen Sok, Phnom Penh","$460,000",,,146,,House,buy,https://www.realestate.com.kh/buy/khmuonh/house-152780/
704,"Chak Angrae Kraom, Meanchey, Phnom Penh","$420,000",,,72,,Twin,buy,https://www.realestate.com.kh/buy/chak-angrae-kraom/twin-villa-152778/
705,"Chey Chumneah, Daun Penh, Phnom Penh","$450,000",,,78,,House,buy,https://www.realestate.com.kh/buy/chey-chumneah/house-152677/
706,"Boeung Tumpun, Meanchey, Phnom Penh","$160,000",,,209,,Land,buy,https://www.realestate.com.kh/buy/boeung-tumpun/land-152672/
707,"Chaom Chau, Por Sen Chey, Phnom Penh","$57,999",,,80,,House,buy,https://www.realestate.com.kh/buy/chaom-chau/house-152671/
708,"Chaom Chau, Por Sen Chey, Phnom Penh","$98,000",,,66,,Shophouse,buy,https://www.realestate.com.kh/buy/chaom-chau/shophouse-152669/
709,"Sala Kamraeuk, Siem Reap, Siem Reap","$95,000",,,61,,House,buy,https://www.realestate.com.kh/buy/sala-kamraeuk/house-152569/
710,"Stueng Mean chey, Meanchey, Phnom Penh","$125,000",,,67,,Shophouse,buy,https://www.realestate.com.kh/buy/stueng-mean-chey/shophouse-152567/
711,"Chaom Chau, Por Sen Chey, Phnom Penh","$245,000",,,72,,Twin,buy,https://www.realestate.com.kh/buy/chaom-chau/twin-villa-152566/
712,"Ta Khmao, Ta Khmau, Kandal","$155,880",,,73,,House,buy,https://www.realestate.com.kh/buy/ta-khmao/house-152564/
713,"Preaek Aeng, Chbar Ampov, Phnom Penh","$245,000",,,,,Villa,buy,https://www.realestate.com.kh/buy/preaek-aeng/villa-152470/
714,"Phsar Thmei II, Daun Penh, Phnom Penh","$455,000",,,65,,Shophouse,buy,https://www.realestate.com.kh/buy/phsar-thmei-ii/shophouse-152467/
715,"Ponhea Lueu, Kandal","$48,000",,,1253,,Land,buy,https://www.realestate.com.kh/buy/ponhea-lueu/land-152466/
716,"Ou Baek K'am, Sen Sok, Phnom Penh","$310,000",,,70,,House,buy,https://www.realestate.com.kh/buy/ou-baek-kam/house-152465/
717,"Nirouth, Chbar Ampov, Phnom Penh","$265,000",,,72,,Twin,buy,https://www.realestate.com.kh/buy/nirouth/twin-villa-152388/
718,"Svay Dankum, Siem Reap, Siem Reap","$95,000",,,55,,House,buy,https://www.realestate.com.kh/buy/svay-dankum/house-152387/
719,"Preaek Aeng, Chbar Ampov, Phnom Penh","$225,000",,,72,,Twin,buy,https://www.realestate.com.kh/buy/preaek-aeng/twin-villa-152386/
720,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$36,000",,,210,,Land,buy,https://www.realestate.com.kh/buy/phleung-chheh-roteh/land-152384/
721,"Snay Anhchet, Chum Kiri, Kampot","$22,000",,,3174,,Land,buy,https://www.realestate.com.kh/buy/snay-anhchet/land-152382/
