,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type
30," Sangkat Bei, Sihanoukville, Sihanoukville","$220,000",2,2.0,104,,Apartment,buy
31," Sangkat Pir, Sihanoukville, Sihanoukville","$79,500",2,1.0,63,,Apartment,buy
32," Sala Kamraeuk, Siem Reap, Siem Reap","$772,800",,,,2208.0,Land,buy
33," Tuol Sangkae 2, Russey Keo, Phnom Penh","$2,400,000",9,10.0,,1022.0,Villa,buy
34,Arakawa Residence,"$65,920$60,000SAVE8.98%",2,1.0,46,,Condo,buy
35,"Tuol Sangkae 2, Russey Keo, Phnom Penh","$2,400,000",9,10.0,945,1008.0,Villa,buy
36," Sangkat Bei, Sihanoukville, Sihanoukville","$195,000",2,2.0,130,,Apartment,buy
37," Chroy Changvar, Chroy Changvar, Phnom Penh","$65,000",1,1.0,62,,Condo,buy
38," Boeung Prolit, 7 Makara, Phnom Penh","$75,000",1,1.0,,65.0,Condo,buy
39," Boeung Prolit, 7 Makara, Phnom Penh","$78,000",1,1.0,,72.0,Condo,buy
40,"Chbar Ampov I, Chbar Ampov, Phnom Penh","$570,000",4,5.0,72,154.0,Twin,buy
41,"Chak Angrae Leu, Meanchey, Phnom Penh","$260,000",4,5.0,72,108.0,Twin,buy
42,"Boeung Kak 1, Toul Kork, Phnom Penh","$2,100,000",8,7.0,,627.0,House,buy
43,"Tonle Bassac, Chamkarmon, Phnom Penh","$13,000,000",,,,2767.0,Land,buy
44,"Preaek Aeng, Chbar Ampov, Phnom Penh","$2,800,000",6,8.0,2250,6600.0,Villa,buy
45,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,100,000",4,5.0,240,303.0,Villa,buy
46,"Kakap, Por Sen Chey, Phnom Penh","$650,000",8,9.0,,280.0,Villa,buy
47,"Kouk Khleang, Sen Sok, Phnom Penh","$520,000",2,11.0,210,,House,buy
48,"Preaek Luong, Khsach Kandal, Kandal","$53,000",3,3.0,,83.0,House,buy
49," Kaoh Rung, Sihanoukville, Sihanoukville","$150,000",2,,,,Villa,buy
50," Svay Dankum, Siem Reap, Siem Reap","$190,000",6,8.0,,,House,buy
51,Urban Village Phase 2,"$66,000",,1.0,26,,Condo,buy
52,"Samrong Tong, Samraong Tong, Kampong Speu","$41,000",2,2.0,72,,House,buy
53,"Svay Dankum, Siem Reap, Siem Reap","$545,000",4,5.0,,,Villa,buy
54,"Sala Kamraeuk, Siem Reap, Siem Reap","$320,000",3,4.0,,,House,buy
55,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,239,000",,,,,Condo,buy
56,"Tonle Bassac, Chamkarmon, Phnom Penh","$885,000",,,,,Condo,buy
57,"Tonle Bassac, Chamkarmon, Phnom Penh","$323,900",,,,,Condo,buy
58,"BKK 3, Chamkarmon, Phnom Penh","$2,200,000",6,6.0,,475.0,Villa,buy
59," Svay Dankum, Siem Reap, Siem Reap",$500/m²,,,,,Land,buy
60," Chak Angrae Leu, Meanchey, Phnom Penh","$125,000",2,1.0,70,,Condo,buy
61,"Preaek Lieb, Chroy Changvar, Phnom Penh","$500,000",6,5.0,,90.0,Shophouse,buy
62,"Boeung Kak 2, Toul Kork, Phnom Penh","$210,000",4,4.0,,,Condo,buy
63,"Phsar Thmei III, Daun Penh, Phnom Penh","$1,300,000",10,9.0,,,Shophouse,buy
64,"Phsar Thmei III, Daun Penh, Phnom Penh","$1,500,000",4,4.0,,,Shophouse,buy
65,"Phsar Thmei III, Daun Penh, Phnom Penh","$210,000",2,2.0,,,Shophouse,buy
66,"Phsar Thmei III, Daun Penh, Phnom Penh","$700,000",6,7.0,,,Shophouse,buy
67," Kandaek, Prasat Bakong, Siem Reap","$64,999",2,2.0,,,House,buy
68,Embassy Central,"$360,000",2,2.0,104,,Condo,buy
69," Toul Svay Prey 1, Chamkarmon, Phnom Penh","$2,200,000",6,7.0,,,Villa,buy
70,"BKK 1, Chamkarmon, Phnom Penh","$277,000",1,1.0,77,,Condo,buy
71,"Mittapheap, 7 Makara, Phnom Penh","$150,000",2,2.0,,,Apartment,buy
72," Sala Kamraeuk, Siem Reap, Siem Reap","$700,000",9,10.0,,,House,buy
73," Kandaek, Prasat Bakong, Siem Reap","$86,000",2,3.0,,,House,buy
74," Sala Kamraeuk, Siem Reap, Siem Reap",$270/m²,,,,,Land,buy
75,"Chreav, Siem Reap, Siem Reap","$135,500",2,3.0,108,250.0,House,buy
76,"Svay Dankum, Siem Reap, Siem Reap","$180,000",4,5.0,,,Villa,buy
77," Sala Kamraeuk, Siem Reap, Siem Reap","$1,260,000",,,,,Land,buy
78," Svay Dankum, Siem Reap, Siem Reap","$1,500,000",,,,,Land,buy
79,"Phsar Kandal I, Daun Penh, Phnom Penh","$330,000",2,4.0,346,,Apartment,buy
80,"Toul Tum Poung 2, Chamkarmon, Phnom Penh","$2,800,000",15,15.0,,,Apartment,buy
81,"Srangae, Siem Reap, Siem Reap","$108,000",2,3.0,,,House,buy
82,"Phsar Kandal I, Daun Penh, Phnom Penh","$299,000",2,2.0,250,,Flat,buy
83,"Svay Dankum, Siem Reap, Siem Reap","$100,000",3,4.0,,,House,buy
84,Prince Huan Yu Center,"$160,000$120,000SAVE25.00%",1,1.0,62,,Condo,buy
85,"Phsar Kandal I, Daun Penh, Phnom Penh","$125,000",3,2.0,99,,Apartment,buy
86,Urban Village Phase 2,"$119,500",2,2.0,60,,Condo,buy
87,"Chey Chumneah, Daun Penh, Phnom Penh","$800,000",10,10.0,,,Shophouse,buy
88,"BKK 3, Chamkarmon, Phnom Penh","$85,000",1,1.0,52,,Condo,buy
89,"Boeung Kak 2, Toul Kork, Phnom Penh","$4,200/m²",,,,,Land,buy
90,"Sangkat Pir, Sihanoukville, Sihanoukville","$650,000",18,,,390.0,Apartment,buy
91,"Tumnob Tuek, Chamkarmon, Phnom Penh","$1,300,000",3,4.0,,,Shophouse,buy
92,"Ou Oknha Heng, Prey Nob, Sihanoukville","$5,340,000",,,,89000.0,Land,buy
93,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$250,000",4,5.0,75,168.0,Villa,buy
94," Chroy Changvar, Chroy Changvar, Phnom Penh","$154,400","['1', '3']",,"['42', '237']",,,buy
95,"Svay Dankum, Siem Reap, Siem Reap","$230,000",4,5.0,,,House,buy
96,"Kandaek, Prasat Bakong, Siem Reap","$90,000",2,3.0,,,House,buy
97," Ream, Prey Nob, Sihanoukville","$8,352,000",,,,55680.0,Land,buy
98,"BKK 3, Chamkarmon, Phnom Penh","$78,000",1,1.0,35,,Condo,buy
99,"Svay Dankum, Siem Reap, Siem Reap","$240,000",3,3.0,,,Villa,buy
100,"BKK 1, Chamkarmon, Phnom Penh","$950,000",2,3.0,,108.0,Villa,buy
101," Sala Kamraeuk, Siem Reap, Siem Reap","$450,000",7,,,,House,buy
102,"Kouk Chak, Siem Reap, Siem Reap","$150,000",6,6.0,,,House,buy
103,"BKK 1, Chamkarmon, Phnom Penh","$310,000",2,2.0,95,,Condo,buy
104,"BKK 1, Chamkarmon, Phnom Penh","$450,000",3,3.0,120,,Condo,buy
105,"BKK 1, Chamkarmon, Phnom Penh","$743,000",3,3.0,161,,Apartment,buy
106," Sla Kram, Siem Reap, Siem Reap","$320,000",9,9.0,,,House,buy
107,"Svay Dankum, Siem Reap, Siem Reap","$690,000",5,10.0,,,Apartment,buy
108,"DABEST PROPERTIES DABEST PROPERTIES, Svay Dankum, Siem Reap, Siem Reap","$230,000",2,3.0,94,352.0,House,buy
109,"Svay Dankum, Siem Reap, Siem Reap","$160,000",1,1.0,,67.0,Shophouse,buy
110," Sangkat Sambuor, Siem Reap, Siem Reap","$78,000",3,3.0,,,Twin,buy
111,Rose Apple Square,"$194,010",2,,,,Condo,buy
112,"Sala Kamraeuk, Siem Reap, Siem Reap","$250,000",7,7.0,,,Villa,buy
113,"Boeung Kak 2, Toul Kork, Phnom Penh","$3,800,000",25,28.0,660,1076.0,House,buy
114,"Sala Kamraeuk, Siem Reap, Siem Reap","$479,900",4,2.0,,,House,buy
115,Kandal,"$93,000",,,52,86.0,House,buy
116,"Siem Reap, Siem Reap","$175,000",3,4.0,,372.0,House,buy
117,Siem Reap,"$69,000",1,1.0,93,154.0,House,buy
118,"Tumnob Tuek, Chamkarmon, Phnom Penh","$72,500",1,1.0,59,,Condo,buy
119,"Siem Reap, Siem Reap","$120,000",2,3.0,75,153.0,House,buy
120,"Chaom Chau, Por Sen Chey, Phnom Penh","$198,000",4,6.0,,,House,buy
121,"Boeung Kak 1, Toul Kork, Phnom Penh","$68,000",1,1.0,,,Condo,buy
122,"Sangkat Buon, Sihanoukville, Sihanoukville","$259,000",4,5.0,,,House,buy
123,"Svay Dankum, Siem Reap, Siem Reap","$1,200,000",4,5.0,,,House,buy
124,"Nirouth, Chbar Ampov, Phnom Penh","$100,000",4,5.0,,,House,buy
125,"Snaor, Por Sen Chey, Phnom Penh","$65,000",3,3.0,,,House,buy
126,"Boeung Tumpun, Meanchey, Phnom Penh","$75,000",1,1.0,,,Condo,buy
127,"Chrang Chamres 2, Russey Keo, Phnom Penh","$320,000",4,5.0,72,207.0,Villa,buy
128,"Svay Dankum, Siem Reap, Siem Reap","$135,000",2,3.0,,,House,buy
129,"Svay Dankum, Siem Reap, Siem Reap","$460,000",4,4.0,,,House,buy
130,"Svay Dankum, Siem Reap, Siem Reap","$139,000",3,3.0,,240.0,Villa,buy
131,"Sangkat Sambuor, Siem Reap, Siem Reap","$980,000",7,7.0,400,5724.0,Villa,buy
132,"DABEST PROPERTIES, Svay Dankum, Siem Reap, Siem Reap","$220,000",2,2.0,,422.0,Villa,buy
133,"Dabest Properties, Sala Kamraeuk, Siem Reap, Siem Reap","$1,950,000",6,7.0,548,2100.0,Villa,buy
134,"Kampong Samnanh, Ta Khmau, Kandal","$65,000",2,3.0,,,House,buy
135,"Svay Kravan, Chbar Mon, Kampong Speu","$45,000",3,4.0,,,House,buy
136,"Bak Kaeng, Chroy Changvar, Phnom Penh","$147,000",2,3.0,,,House,buy
137,Kandal,"$39,100",,,36,247.0,House,buy
138,"Chaom Chau, Por Sen Chey, Phnom Penh","$44,500",2,2.0,,,House,buy
139,,"$650,000",4,4.0,252,1506.0,House,buy
140,"Chreav, Siem Reap, Siem Reap","$110,000",2,2.0,,,House,buy
141,"Svay Dankum, Siem Reap, Siem Reap","$1,250,000",5,6.0,,,House,buy
142,"Chbar Ampov II, Chbar Ampov, Phnom Penh","$210,000",3,4.0,,,Shophouse,buy
143,Kampong Speu,"$250,000",3,4.0,150,300.0,House,buy
144,"Preaek Aeng, Chbar Ampov, Phnom Penh","$129,000",4,5.0,50,84.0,House,buy
145,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$330,000",4,6.0,,,House,buy
146,"Chomkar Somraong, Battambang, Battambang","$51,000",2,2.0,,,House,buy
147,"Siem Reap, Siem Reap, Siem Reap","$95,000",3,4.0,,,House,buy
148,"Ta Khmau, Kandal","$148,000",4,5.0,136,200.0,House,buy
149,"Battambang, Battambang","$55,000",2,3.0,,,House,buy
150,Kandal,"$28,500",2,2.0,,,House,buy
151,"Meanchey, Phnom Penh","$22,000",4,5.0,,,House,buy
152,"Ta Khmau, Kandal","$50,000",2,1.0,90,112.0,House,buy
153,"Baek Chan, Angk Snuol, Kandal","$185,000",3,4.0,,192.0,House,buy
154,Battambang,"$33,000",2,3.0,,,House,buy
155,"Snaor, Por Sen Chey, Phnom Penh","$95,000",4,4.0,80,180.0,House,buy
156,"Krang Mkak, Angk Snuol, Kandal","$78,500",3,3.0,,,Flat,buy
157,"Chreav, Siem Reap, Siem Reap","$495,000",4,5.0,314,615.0,Villa,buy
158,"Battambang, Battambang","$70,000",3,3.0,,,House,buy
159,Kandal,"$135,000",2,1.0,,1350.0,House,buy
160,"Svay Dankum, Siem Reap, Siem Reap","$119,999",3,4.0,,74.0,House,buy
161,,"$150,000",4,5.0,9800,,House,buy
162,"Kandaek, Prasat Bakong, Siem Reap","$130,000",3,3.0,,,House,buy
163,,"$75,000",2,3.0,,,House,buy
164,"Sala Kamraeuk, Siem Reap, Siem Reap","$169,000",3,3.0,,,House,buy
165,,"$115,000",2,3.0,6700,8600.0,House,buy
166,"Russey Keo, Phnom Penh","$650,000",6,6.0,,,House,buy
167,"Samraong Kraom, Por Sen Chey, Phnom Penh","$115,000",4,5.0,,,Villa,buy
168,,"$218,000",2,2.0,,169.0,House,buy
169,,"$120,000",,,7000,,House,buy
170,"Svay Dankum, Siem Reap, Siem Reap","$89,999",2,3.0,,,House,buy
171,"Kep, Kep","$1,000,000",2,3.0,589,818.0,House,buy
172,"Kakaoh, Santuk, Kampong Thom","$55,000",2,3.0,,,House,buy
173,,"$83,000",2,3.0,,,House,buy
174,"Odongk, Kampong Speu","$36,000",2,,48,777.0,House,buy
175,"Svay Dankum, Siem Reap, Siem Reap","$545,000",4,5.0,270,425.0,Villa,buy
176,"Nitean, Basedth, Kampong Speu","$3,412,225",,,,136489.0,Land,buy
177,"Svay Dankum, Siem Reap, Siem Reap","$120,000",2,3.0,190,607.0,House,buy
178,"Chroy Changvar, Phnom Penh","$74,000",5,5.0,,,House,buy
179,"Kampong Trach, Kampot","$265,000",4,6.0,,,House,buy
180,,"$158,000",,,16800,27000.0,House,buy
181,"Sralau, Baray, Kampong Thom","$85,000",2,2.0,48,220.0,House,buy
182,"Chaom Chau 2, Por Sen Chey, Phnom Penh","$67,000",1,1.0,,,Shophouse,buy
183,"Meanchey, Phnom Penh","$150,000",4,5.0,,,House,buy
184,,"$280,000",,,,,House,buy
185,,"$180,000",4,5.0,96,,House,buy
186,"Boeung Tumpun, Meanchey, Phnom Penh","$135,000",5,4.0,,,Flat,buy
187,,"$195,000",4,4.0,,,House,buy
188,,"$135,000",4,4.0,12800,25200.0,House,buy
189,Takeo,"$43,888",2,2.0,82,290.0,House,buy
190,"Chreav, Siem Reap, Siem Reap","$225,000",3,4.0,,,House,buy
191,"Tuol Sangke, Russey Keo, Phnom Penh","$93,000",4,5.0,,,House,buy
192,"Nirouth, Chbar Ampov, Phnom Penh","$95,000",4,4.0,6100,,House,buy
193,"Sangkat Bei, Sihanoukville, Sihanoukville","$650,000",24,,,,Flat,buy
194,Eastland Hotel and Apartment,"$85,000",1,1.0,38,,Apartment,buy
195,"Chaom Chau 1, Por Sen Chey, Phnom Penh","$97,000",2,3.0,,,House,buy
196,"Kampong Roteh, Stueng Saen, Kampong Thom","$280,000",3,4.0,42,408.0,House,buy
197,"Sangkat Buon, Sihanoukville, Sihanoukville","$350,000",,,,,House,buy
198,"Boeung Tumpun, Meanchey, Phnom Penh","$79,000",2,3.0,56,,House,buy
199,Koh Kong,"$55,000",2,1.0,60,,House,buy
200,"Poipet, Poipet, Banteay Meanchey","$71,000",5,5.0,,,House,buy
201,"Russey Keo, Phnom Penh","$92,000",2,3.0,,,House,buy
202,"Chaom Chau 3, Por Sen Chey, Phnom Penh","$175,000",4,5.0,58,118.0,House,buy
203,"Spean Thma, Dangkao, Phnom Penh","$49,999",2,3.0,,,House,buy
204,"Chrang Chamres 2, Russey Keo, Phnom Penh","$375,000",4,5.0,72,218.0,House,buy
205,"Roka Knong, Doun Kaev, Takeo","$300,000",12,12.0,,,House,buy
206,"Boeung Salang, Toul Kork, Phnom Penh","$650,000",7,7.0,176,336.0,House,buy
207,"Dangkao, Dangkao, Phnom Penh","$160,000",5,5.0,64,,House,buy
208,"Kandaek, Prasat Bakong, Siem Reap","$135,000",2,3.0,,,House,buy
209,"Tuek L'ak 3, Toul Kork, Phnom Penh","$183,880",4,5.0,60,100.0,House,buy
210,Siem Reap,"$185,000",3,3.0,,,House,buy
211,"Siem Reap, Siem Reap","$300,000",3,4.0,,,House,buy
212,"Siem Reap, Siem Reap","$180,000",3,4.0,,600.0,House,buy
213,"Kampot, Kampot","$230,000",3,3.0,,,House,buy
214,"Chaom Chau, Por Sen Chey, Phnom Penh","$55,000",2,3.0,,,House,buy
215,Kandal,"$56,000",3,3.0,,,House,buy
216,"Chaom Chau, Por Sen Chey, Phnom Penh","$65,000",2,3.0,,76.0,House,buy
217,"Krang Thnong, Sen Sok, Phnom Penh","$47,000",2,3.0,,,House,buy
218,"Dangkao, Dangkao, Phnom Penh","$99,000",2,3.0,64,86.0,House,buy
219,"Chaom Chau 3, Por Sen Chey, Phnom Penh","$74,000",4,3.0,85,168.0,House,buy
220,"Chey Chumneah, Daun Penh, Phnom Penh","$495,000",2,3.0,,,House,buy
221,"Tuek Thla, Sen Sok, Phnom Penh","$335,000",6,5.0,72,125.0,House,buy
222,"BKK 1, Chamkarmon, Phnom Penh","$200,000$183,000SAVE8.50%",1,1.0,58,,Condo,buy
223,"Veal Sbov, Chbar Ampov, Phnom Penh","$195,000",,,,301.0,Land,buy
224,"Sla Kram, Siem Reap, Siem Reap","$125,000",4,5.0,88,161.0,House,buy
225,"Ta Khmau, Kandal","$72,000",5,4.0,,,House,buy
226,"Boeung Kak 2, Toul Kork, Phnom Penh","$269,000",4,5.0,72,158.0,House,buy
227,"Kakap, Por Sen Chey, Phnom Penh","$78,200",2,2.0,,,House,buy
228,"Stueng Mean chey 3, Meanchey, Phnom Penh","$85,000",2,3.0,,,House,buy
229,"Samraong Kraom, Por Sen Chey, Phnom Penh","$439,999",5,6.0,,,House,buy
230,"Preaek Pnov, Prek Pnov, Phnom Penh","$55,000",1,2.0,,,House,buy
231,"Russey Keo, Russey Keo, Phnom Penh","$48,000",2,3.0,,,House,buy
232,"Meanchey, Phnom Penh","$140,000",2,3.0,,,House,buy
233,"Dangkao, Phnom Penh","$96,000",2,3.0,,,House,buy
234,"Kamboul, Por Sen Chey, Phnom Penh","$120,000",5,6.0,,,House,buy
235,"Anlong Vil, Sangkae, Battambang","$45,000",2,2.0,,,House,buy
236,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$270,000",,,153,,House,buy
237,"Stueng Mean chey, Meanchey, Phnom Penh","$85,000",2,3.0,,,House,buy
238,"Preaek Anhchanh, Mukh Kampul, Kandal","$66,000",4,5.0,50,,House,buy
239,"Kakab 1, Por Sen Chey, Phnom Penh","$155,000",2,3.0,,,House,buy
240,"Preaek Kampues, Dangkao, Phnom Penh","$50,000",2,3.0,,,House,buy
241,"Meanchey, Phnom Penh","$90,000",4,4.0,,,House,buy
242,"Kamboul, Por Sen Chey, Phnom Penh","$54,500",2,3.0,,,House,buy
243,"Dangkao, Dangkao, Phnom Penh","$93,555",2,3.0,,92.0,House,buy
244,"Kandal Stueng, Kandal","$105,000",2,2.0,60,203.0,House,buy
245,"Kampong Chhnang, Kampong Chhnang","$98,000",2,2.0,,,House,buy
246,"Dangkao, Phnom Penh","$169,000",3,1.0,,,House,buy
247,"Meanchey, Phnom Penh","$83,500",2,3.0,,,House,buy
248,"Chrang Chamres 2, Russey Keo, Phnom Penh","$52,000",2,1.0,,,House,buy
249,"Ta Khmau, Kandal","$25,900",2,1.0,,,House,buy
250,"Tuek L'ak 2, Toul Kork, Phnom Penh","$600,000",4,5.0,,,House,buy
251,Siem Reap,"$65,000",1,2.0,65,252.0,House,buy
252,"Krang Thnong, Sen Sok, Phnom Penh","$98,000",2,3.0,,,House,buy
253,"Tuol Sangke, Russey Keo, Phnom Penh","$115,000",4,5.0,,,House,buy
254,"Sihanoukville, Sihanoukville","$220,000",3,3.0,80,246.0,House,buy
255,"Preaek Kampues, Dangkao, Phnom Penh","$140,000",,,,432.0,Land,buy
256," Chreav, Siem Reap, Siem Reap","$495,000",4,5.0,,,House,buy
257,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$655,000",,,,960.0,Land,buy
258,"Khmuonh, Sen Sok, Phnom Penh","$62,000",3,2.0,,105.0,House,buy
259,"Krang Thnong, Sen Sok, Phnom Penh","$110,000",4,5.0,,58.0,House,buy
260,"Nirouth, Chbar Ampov, Phnom Penh","$123,000",4,5.0,,88.0,House,buy
261,"Krang Thnong, Sen Sok, Phnom Penh","$85,000",2,3.0,66,92.0,Apartment,buy
262,"Kamboul, Por Sen Chey, Phnom Penh","$63,000",4,5.0,,49.0,House,buy
263,"Boeung Salang, Toul Kork, Phnom Penh","$1,200,000",5,4.0,,,House,buy
264,"Boeung Tumpun, Meanchey, Phnom Penh","$95,000",4,5.0,,48.0,House,buy
265,"Nirouth, Chbar Ampov, Phnom Penh","$77,500",3,3.0,,64.0,House,buy
266,"Setbou, S'ang, Kandal","$53,000",2,3.0,,84.0,House,buy
267,"Prey Sa, Dangkao, Phnom Penh","$169,000",5,6.0,,,House,buy
268,"Preaek Kampues, Dangkao, Phnom Penh","$108,000",4,5.0,,86.0,House,buy
269,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$155,000",5,7.0,,64.0,House,buy
270,"Dangkao, Phnom Penh","$138,000",4,5.0,,109.0,House,buy
271,"Khmuonh, Sen Sok, Phnom Penh","$225,000",4,5.0,,64.0,House,buy
272,"Boeung Tumpun 1, Meanchey, Phnom Penh","$137,000",5,5.0,,86.0,House,buy
273,"Khmuonh, Sen Sok, Phnom Penh","$240,000",4,5.0,,66.0,House,buy
274,"Boeung Tumpun, Meanchey, Phnom Penh","$220,000",5,5.0,,67.0,House,buy
275,"Chaom Chau, Por Sen Chey, Phnom Penh","$165,000",4,5.0,,133.0,House,buy
276,"Kamboul, Por Sen Chey, Phnom Penh","$75,000",4,5.0,,,House,buy
277,"Stueng Mean chey 3, Meanchey, Phnom Penh","$58,000",2,3.0,,76.0,House,buy
278,"Nirouth, Chbar Ampov, Phnom Penh","$120,000",,,,171.0,Land,buy
279,"Svay Dankum, Siem Reap, Siem Reap","$60,000",,,,,Condo,buy
280,"Svay Toea, Svay Rieng, Svay Rieng","$389,000",,,,1362.0,House,buy
281,"Nirouth, Chbar Ampov, Phnom Penh","$300,000",4,5.0,72,,Twin,buy
282,"Boeung Kak 1, Toul Kork, Phnom Penh","$710,000",6,5.0,168,368.0,Villa,buy
283,"Nirouth, Chbar Ampov, Phnom Penh","$293,700",4,5.0,72,169.0,Twin,buy
284,"Chak Angrae Leu, Meanchey, Phnom Penh","$105,000",,,,,Flat,buy
285,"Boeung Kak 1, Toul Kork, Phnom Penh","$140,000",,,62,,Condo,buy
286,"Ta Khmao, Ta Khmau, Kandal","$65,000",2,,,,Link,buy
287," Tuek Thla, Sen Sok, Phnom Penh","$390,000",5,5.0,,,Shophouse,buy
288," Tuek L'ak 3, Toul Kork, Phnom Penh","$580,000",,,,,Shophouse,buy
289," Tuek Thla, Sen Sok, Phnom Penh","$380,000",3,4.0,216,,Condo,buy
290," Chroy Changvar, Chroy Changvar, Phnom Penh","$145,000",2,2.0,90,,Condo,buy
291,"Nirouth, Chbar Ampov, Phnom Penh","$1,200,000",,,,,Villa,buy
292,"Kakap, Por Sen Chey, Phnom Penh","$250,000",3,2.0,,,Condo,buy
293,Urban Village Phase 2,"$180,000",,,78,,Condo,buy
294,"BKK 1, Chamkarmon, Phnom Penh","$2,100,000",5,4.0,306,411.0,Condo,buy
295,"Preaek Aeng, Chbar Ampov, Phnom Penh","$3,950,000",7,8.0,1100,2378.0,Villa,buy
296,Borey Morgan Champs-Élysées,"$1,590,000",7,8.0,754,292.0,Villa,buy
297,Borey Morgan Champs-Élysées,"$650,000",6,7.0,337,128.0,Twin,buy
298,Borey Morgan Champs-Élysées,"$1,630,000",3,20.0,1185,180.0,Shophouse,buy
299,Borey Morgan Champs-Élysées,"$480,000",5,6.0,245,84.0,Twin,buy
300,Borey Morgan Champs-Élysées,"$560,000",4,5.0,441,100.0,Shophouse,buy
301," Ponhea Pon, Prek Pnov, Phnom Penh","$86,000",,,,409.0,Land,buy
302," BKK 1, Chamkarmon, Phnom Penh","$71,766",1,1.0,383,,Apartment,buy
303," Ou Baek K'am, Sen Sok, Phnom Penh","$145,000",1,1.0,87,,Condo,buy
304,"Ou Baek K'am, Sen Sok, Phnom Penh","$68,000$58,000SAVE14.71%",1,1.0,30,,Condo,buy
305," Boeung Tumpun, Meanchey, Phnom Penh","$43,000",1,1.0,48,,Condo,buy
306," Tonle Bassac, Chamkarmon, Phnom Penh","$160,000",1,1.0,51,,Condo,buy
307," Svay Chrum, Khsach Kandal, Kandal","$70,000",2,2.0,,,Link,buy
308," Chroy Changvar, Chroy Changvar, Phnom Penh","$120,000$90,000SAVE25.00%",2,2.0,,,Condo,buy
309," Sla Kram, Siem Reap, Siem Reap","$2,300,000",7,8.0,,,House,buy
310," Chreav, Siem Reap, Siem Reap","$90,000",,,,,Land,buy
311," Preaek Anhchanh, Mukh Kampul, Kandal","$99,500",4,5.0,,,Shophouse,buy
312,"Tonle Bassac, Chamkarmon, Phnom Penh","$65,000",1,1.0,,,Condo,buy
313,Skylar by Meridian,"$180,000$135,000SAVE25.00%",1,1.0,57,,Condo,buy
314,"Svay Dankum, Siem Reap, Siem Reap","$450,000",4,5.0,,,House,buy
315,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$265,000",4,5.0,,,Link,buy
316,"Stueng Mean chey, Meanchey, Phnom Penh","$120,000",,,,,Flat,buy
317,Urban Village Phase 1,"$95,000",1,1.0,,,Condo,buy
318,"Bavet, Bavet, Svay Rieng","$310,000",,,,7644.0,Land,buy
319," Boeung Kak 1, Toul Kork, Phnom Penh","$85,000",2,1.0,42,,Condo,buy
320," Chaom Chau 3, Por Sen Chey, Phnom Penh","$55,980",2,3.0,64,,Flat,buy
321," Kamboul, Por Sen Chey, Phnom Penh","$165,000",2,3.0,,,House,buy
322," Preaek Kampues, Dangkao, Phnom Penh","$85,000",2,3.0,,,Flat,buy
323," Kandaek, Prasat Bakong, Siem Reap","$125,000",3,3.0,,,Twin,buy
324," Sala Kamraeuk, Siem Reap, Siem Reap","$150,000",4,3.0,,,House,buy
325," Svay Dankum, Siem Reap, Siem Reap","$678,500",,,,,Land,buy
326," Chreav, Siem Reap, Siem Reap","$354,250",,,,,Land,buy
327," Sala Kamraeuk, Siem Reap, Siem Reap","$821,600",,,,,Land,buy
328,"Ta Khmao, Ta Khmau, Kandal",$180/m²,,,,23442.0,Land,buy
329," Chreav, Siem Reap, Siem Reap","$170,000",2,3.0,,,House,buy
330," Svay Dankum, Siem Reap, Siem Reap","$367,200",,,,,Land,buy
331," Chreav, Siem Reap, Siem Reap","$135,000",2,3.0,,,House,buy
332," Siem Reap, Siem Reap, Siem Reap","$220,000",2,2.0,,,Villa,buy
333,"BKK 1, Chamkarmon, Phnom Penh","$12,000/m²",,,,,Land,buy
334," Veal Vong, 7 Makara, Phnom Penh","$188,688",2,2.0,75,105.0,Condo,buy
335," Russey Keo, Russey Keo, Phnom Penh",$500/m²,,,,363.0,Land,buy
336,"Sangkat Pir, Sihanoukville, Sihanoukville","$72,800",1,1.0,40,,Condo,buy
337,"Trapeang Thum, Prasat Bakong, Siem Reap",$70/m²,,,,,Land,buy
338,"Tuek L'ak 2, Toul Kork, Phnom Penh","$130,000",2,2.0,,,Condo,buy
339,"Kep, Kep, Kep",$220/m²,,,,,Land,buy
340,"Tuol Sangke, Russey Keo, Phnom Penh","$850,000",7,6.0,,,Villa,buy
341,"Kep, Kep, Kep",$220/m²,,,,2684.0,Villa,buy
342,"313 313, Boeung Kak 2, Toul Kork, Phnom Penh","$380,000",,,,60.0,House,buy
343,"Chaom Chau, Por Sen Chey, Phnom Penh",$59/m²,,,,2636.0,Land,buy
344,Royal Park Condo,"$49,999",1,1.0,,,Condo,buy
345," Kakab 1, Por Sen Chey, Phnom Penh","$150,000",2,2.0,108,,Condo,buy
346,"Achar Leak, Stueng Saen, Kampong Thom","$78,000",3,4.0,,,House,buy
347,Urban Village Phase 1,"$110,000",2,1.0,,,Condo,buy
348,"Chreav, Siem Reap, Siem Reap","$60,000",1,1.0,,,House,buy
349," Street 20A, Tien, Dangkao, Phnom Penh",POA,,,,,Borey,buy
